Date,LTC
2/20/2017,3.73
2/21/2017,3.78
2/22/2017,3.8
2/23/2017,3.8
2/24/2017,3.87
2/25/2017,3.85
2/26/2017,3.82
2/27/2017,3.83
2/28/2017,3.77
3/1/2017,3.8
3/2/2017,3.96
3/3/2017,4.02
3/4/2017,3.98
3/5/2017,3.97
3/6/2017,4.05
3/7/2017,3.96
3/8/2017,3.8
3/9/2017,3.89
3/10/2017,3.78
3/11/2017,3.8
3/12/2017,3.87
3/13/2017,4.36
3/14/2017,4.17
3/15/2017,4.26
3/16/2017,4.33
3/17/2017,4.2
3/18/2017,4.05
3/19/2017,3.98
3/20/2017,4.12
3/21/2017,4.09
3/22/2017,3.98
3/23/2017,4.02
3/24/2017,4.18
3/25/2017,4.13
3/26/2017,4.1
3/26/2017,4.1
3/27/2017,4.2
3/28/2017,4.32
3/29/2017,7.5
3/30/2017,7.1
3/31/2017,7.48
4/1/2017,8.22
4/2/2017,8.57
4/3/2017,8.97
4/4/2017,12.39
4/5/2017,10.7
4/6/2017,9.89
4/7/2017,10.66
4/8/2017,9.21
4/9/2017,9.8
4/10/2017,9.66
4/11/2017,11.6
4/12/2017,11.06
4/13/2017,11.67
4/14/2017,11.67
4/15/2017,11.73
4/16/2017,11.26
4/17/2017,11.06
4/18/2017,10.29
4/19/2017,10.97
